last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Ohtani, Shohei,660271,204,17.8,37.3,119,93.7,101,84.8,470,210,417,116,17.8,56.9,53,26.0,15.5
Tatis Jr., Fernando,665487,189,13,34.9,116,93.5,100.5,87.2,477,185,417,105,16.6,55.6,41,21.7,13.1
Judge, Aaron,592450,223,10.2,41.7,119,95.8,99.3,92,443,186,400,127,19.3,57.0,44,19.7,12.2
Acuña Jr., Ronald,660670,217,18.2,39.6,117.9,93.8,97.9,88.4,481,201,416,119,19.2,54.8,44,20.3,12.2
Guerrero Jr., Vladimir,665489,252,8.4,35.7,117.4,95.2,99,93.4,465,168,412,140,22.5,55.6,42,16.7,11.2
Schwarber, Kyle,656941,179,14.2,37.4,116.6,92.2,97.3,86.5,463,187,413,93,17.9,52.0,33,18.4,10.9
Devers, Rafael,646240,246,10.4,35.8,114.4,92.5,97.6,89,452,174,418,133,17.5,54.1,40,16.3,10.8
Alonso, Pete,624413,210,16.3,33.3,117.1,92.7,96.3,90.9,443,187,411,99,18.1,47.1,33,15.7,10.7
Crawford, Brandon,543063,205,15.3,39.5,109.8,89.9,96,83.5,444,191,399,95,15.6,46.3,32,15.6,10.6
Olson, Matt,621566,257,17.2,30.7,115.3,92,96.8,88.7,445,181,407,124,18.1,48.2,37,14.4,10.2
Cruz, Nelson,443558,221,10.7,31.7,116.6,93.3,97.9,90.1,457,168,417,119,20.1,53.8,32,14.5,10.1
Muncy, Max,571970,199,14.5,36.2,111.7,91,96.8,83.6,433,183,411,84,18.3,42.2,32,16.1,10.0
Perez, Salvador,521692,252,14.8,34.9,114.2,93,97.1,89.4,460,184,400,143,18.3,56.7,36,14.3,9.9
García, Adolis,666969,211,13.5,33.2,112.4,91.4,96.8,85.7,431,183,395,99,13.9,46.9,33,15.6,9.9
Duvall, Adam,594807,183,23.4,30.1,113.8,91.1,96,84.4,458,194,411,86,15.4,47.0,28,15.3,9.7
Alvarez, Yordan,670541,201,12.3,37.8,116.4,92.2,96.5,88.3,451,185,411,103,18.4,51.2,30,14.9,9.5
Gallo, Joey,608336,168,21.3,33.3,115.1,92.4,97.6,86.9,462,199,414,75,12.6,44.6,33,19.6,9.4
Hoskins, Rhys,656555,237,21.3,34.2,112.2,90.8,95.8,85.3,441,197,407,109,15.6,46.0,34,14.3,9.2
Walsh, Jared,665120,227,9,34.8,114.8,90.3,94.9,87.6,436,157,402,99,14.5,43.6,32,14.1,9.0
Renfroe, Hunter,592669,219,14.4,36.1,116.4,90.8,96.8,86,453,174,417,98,17.1,44.7,28,12.8,9.0
Lowe, Brandon,664040,181,15.4,34.3,111.2,89.9,95.7,83.2,432,197,409,75,11.4,41.4,30,16.6,9.0
Tucker, Kyle,663656,244,17.1,39.8,111.1,92.2,94.6,91,459,200,395,125,18.8,51.2,29,11.9,8.9
Hernández, Teoscar,606192,202,10.2,37.6,115.7,91.3,95.8,86.3,464,170,418,92,15.9,45.5,26,12.9,8.9
Stanton, Giancarlo,519317,173,8.7,28.3,120.2,96.3,100,95.1,471,157,414,101,18.6,58.4,25,14.5,8.6
Mancini, Trey,641820,241,9.9,36.1,113.9,88.5,93.8,85.2,451,165,405,100,14.6,41.5,31,12.9,8.6
Freeman, Freddie,518692,258,13.4,37.2,113.6,92.5,96.3,89.3,446,186,409,136,17.7,52.7,33,12.8,8.5
Machado, Manny,592518,250,14.6,35.2,115.3,93.5,97.3,91.5,433,180,401,133,23.6,53.2,30,12.0,8.5
Haniger, Mitch,571745,254,13.2,31.1,110,89.1,93.9,85.5,438,161,403,112,15.9,44.1,31,12.2,8.4
Ramírez, José,608070,251,18.5,34.3,112.6,91.3,95.2,90,429,186,385,118,19.6,47.0,28,11.2,8.4
Suárez, Eugenio,553993,216,17.6,29.6,111.5,87.5,93.6,82.2,441,183,406,75,11.9,34.7,30,13.9,8.4
Winker, Jesse,608385,257,11.1,37.7,112.6,91,95.1,87.9,456,174,412,125,19.3,48.6,30,11.7,8.3
Swanson, Dansby,621020,231,13.8,36.8,109.6,90.5,94.5,85.8,440,181,405,108,15.2,46.8,29,12.6,8.0
García, Avisaíl,541645,207,8.5,36.2,112.7,90.6,94,87.8,464,161,402,100,16.4,48.3,25,12.1,8.0
Báez, Javier,595879,178,11.2,29.2,116.7,90.5,97,85.9,455,159,404,82,11.8,46.1,25,14.0,8.0
Seager, Kyle,572122,239,20,34.7,111,89.7,94,83.2,427,201,402,102,14.3,42.7,29,12.1,7.9
Goldschmidt, Paul,502671,261,17.3,34.1,112.2,93.2,97.1,90.5,470,181,414,145,20.7,55.6,29,11.1,7.8
Martinez, J.D.,502110,245,17,40.8,112.3,92.1,96,87.1,440,196,399,117,15.7,47.8,28,11.4,7.6
Riley, Austin,663586,222,10.9,33.3,113.1,89.5,95.1,83.7,432,169,395,100,14.6,45.0,27,12.2,7.6
Grichuk, Randal,545341,252,14.4,33.7,113.8,90.7,94.5,88.6,459,171,407,112,17.0,44.4,26,10.3,7.6
Albies, Ozzie,645277,273,22.2,40.3,110.3,89.4,92,86,428,203,401,103,13.1,37.7,28,10.3,7.5
Bichette, Bo,666182,277,4.9,33.6,115.5,90.7,94.7,88.2,468,149,406,139,16.9,50.2,29,10.5,7.5
Laureano, Ramón,657656,198,12.6,35.4,112.1,88.6,94.6,83.7,432,171,407,82,14.3,41.4,23,11.6,7.5
Adames, Willy,642715,206,17.3,34.5,110.6,89.8,94.6,83.7,446,190,401,95,14.5,46.1,25,12.1,7.4
Soler, Jorge,624585,184,17,25.0,115.1,91.5,95.9,89.3,442,173,427,89,15.2,48.4,23,12.5,7.3
Soto, Juan,665742,222,5,27.9,115.3,92.6,97.7,89.7,437,138,402,120,24.0,54.1,24,10.8,7.2
Bogaerts, Xander,593428,259,11.3,37.8,113.6,89.1,93.7,85.5,446,170,403,106,15.5,40.9,26,10.0,7.2
Reynolds, Bryan,668804,245,12.4,35.9,112.7,88.7,92.7,84.3,454,176,411,92,13.4,37.6,26,10.6,7.1
Castellanos, Nick,592206,257,13.9,46.3,111.9,90.1,95,83.7,431,188,396,123,16.6,47.9,26,10.1,7.1
Escobar, Eduardo,500871,257,20.4,35.8,108.2,88.4,91.9,85.1,453,194,406,94,13.5,36.6,25,9.7,7.0
Lowrie, Jed,476704,233,15.6,38.2,109.9,91.3,95.3,86.7,433,188,399,110,18.6,47.2,23,9.9,6.9
Schoop, Jonathan,570731,265,10.2,28.7,117.1,88.6,93.4,87.5,440,147,394,109,14.5,41.1,25,9.4,6.8
Yastrzemski, Mike,573262,194,17.4,32.0,109.4,89.7,94,84.2,430,191,402,77,15.4,39.7,20,10.3,6.8
Abreu, José,547989,229,9.1,28.4,115.6,92.4,95.1,91.3,458,152,408,116,16.9,50.7,24,10.5,6.7
Bryant, Kris,592178,214,12.8,36.9,110,87.5,92.3,82.1,419,170,390,84,13.8,39.3,22,10.3,6.7
Meadows, Austin,640457,229,22.1,38.9,110.3,89.7,93.1,85.3,428,214,394,92,13.3,40.2,24,10.5,6.7
Semien, Marcus,543760,262,18.5,35.1,109.5,90.3,94.5,85,432,197,388,115,15.9,43.9,26,9.9,6.6
Aguilar, Jesús,542583,245,18.4,37.1,110.6,90.7,93.3,89.5,444,196,398,112,18.2,45.7,22,9.0,6.5
Pham, Tommy,502054,211,8.7,36.5,112.7,90.6,95.8,86.4,430,163,396,100,18.0,47.4,22,10.4,6.5
Correa, Carlos,621043,245,13.1,31.4,116.4,90.6,93.4,90.6,415,166,376,110,18.1,44.9,23,9.4,6.4
Urshela, Gio,570482,218,7.3,37.2,110.4,89.2,93.9,84.4,453,166,403,94,14.2,43.1,20,9.2,6.4
Polanco, Jorge,593871,264,18.5,33.7,109.9,89.1,93.1,82.7,435,193,399,100,15.8,37.9,22,8.3,6.3
Chapman, Matt,656305,210,17.2,33.8,112.1,89.9,92.6,87.1,426,186,400,88,12.9,41.9,23,11.0,6.3
Story, Trevor,596115,217,17.4,34.1,110.2,90.7,93.2,88.8,466,188,419,86,13.9,39.6,20,9.2,6.2
Hernandez, Cesar,514917,251,11.1,35.5,110.2,89.1,91.4,88.2,424,167,397,96,14.8,38.2,23,9.2,6.2
Lowe, Nate,663993,223,8.1,32.7,113.9,91.3,93.9,89.7,465,159,411,100,14.6,44.8,23,10.3,6.2
Canha, Mark,592192,204,15.3,40.7,106.8,89,93.3,84.6,410,181,386,85,15.6,41.7,20,9.8,6.2
Mountcastle, Ryan,663624,211,14.7,38.9,114.6,89.2,91.9,85.6,447,188,396,83,12.0,39.3,20,9.5,6.1
Urías, Luis,649966,213,14.1,33.8,111.5,87.5,92.3,85.5,427,164,398,81,13.4,38.0,20,9.4,6.1
Rizzo, Anthony,519203,225,13.7,33.3,114.2,91,94.1,88.8,418,166,398,98,17.1,43.6,19,8.4,6.0
Turner, Justin,457759,246,18.3,40.7,108.1,91.2,94.1,89.1,412,193,395,112,18.5,45.5,21,8.5,5.9
Santana, Carlos,467793,257,14.4,28.8,110.9,90.7,95.6,88.3,447,167,409,114,17.4,44.4,22,8.6,5.9
McCutchen, Andrew,457705,210,11.7,35.2,108.8,88.3,93.7,83.4,445,168,405,80,14.1,38.1,20,9.5,5.9
Taylor, Chris,621035,205,14.5,39.0,110.7,88.6,93.4,83.7,443,174,407,80,12.4,39.0,20,9.8,5.8
Gurriel Jr., Lourdes,666971,237,11.2,31.6,109.5,88.5,92.9,85.7,419,160,392,89,14.1,37.6,18,7.6,5.8
Cronenworth, Jake,630105,290,13.8,34.5,110.8,88.7,92,87.2,445,171,395,102,16.5,35.2,22,7.6,5.7
McMahon, Ryan,641857,216,15.6,41.7,111.5,91.7,95.4,87.4,478,198,416,103,15.7,47.7,19,8.8,5.7
France, Ty,664034,238,12.4,34.5,111.1,87.8,91.7,84.6,410,161,389,87,13.8,36.6,19,8.0,5.6
Turner, Trea,607208,278,10.7,36.3,111.1,89.5,92.4,88.4,443,159,407,132,18.6,47.5,21,7.6,5.6
Arenado, Nolan,571448,291,21.4,37.1,110.6,88.7,91.9,87.4,406,189,386,108,17.0,37.1,20,6.9,5.4
Altuve, Jose,514888,265,14.9,31.3,108.6,88.5,94.3,84.6,435,167,387,104,17.4,39.2,20,7.5,5.4
Brantley, Michael,488726,249,10.5,42.6,109.4,90.4,93.5,88.1,415,166,394,110,21.2,44.2,16,6.4,5.3
Mullins, Cedric,656775,269,15.4,37.5,109.3,89.5,92.3,87.6,440,184,397,107,16.1,39.8,20,7.4,5.3
Myers, Wil,571976,181,9.3,30.4,107.8,87.3,93.4,81.5,434,158,391,70,13.0,38.7,15,8.3,5.2
