Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,138,2,Apr 3,PHI,,ATL,"W,4-0",GS-7,W(1-0),99,7,1,0,0,0,10,0,0,0,22,90,62,17,16,5,7,2,1,0,85,,,0,0,0,22,0,0,0,0,0,0,0.73,0.372,0,0.00%,3.78,39.15,63,1t start tie,7t 3 out a4
2,139,7,Apr 9,PHI,@,ATL,"L,1-8",GS-5,L(1-1),5,4.2,7,3,3,4,4,1,0,2.31,23,92,53,14,9,8,7,4,1,0,38,,,0,0,0,19,2,0,0,1,0,0,1.18,-0.126,1.54,-0.10%,-0.47,5.9,17,1b start tie,5b 1-- 2 out d2
3,140,12,Apr 14,PHI,@,NYM,"L,1-5",GS-7,L(1-2),4,6.1,10,3,3,1,6,0,1,3,30,108,71,16,7,7,15,8,0,0,46,,,0,0,0,28,0,0,0,1,0,0,0.8,-0.031,1,-0.02%,0.14,13.05,28,1b start tie,7b 1-3 1 out d1
4,141,17,Apr 20,PHI,,SFG,"L,7-10",GS-6,,5,5.2,5,4,4,3,6,3,0,3.8,24,105,66,14,11,6,9,3,1,0,46,,,0,0,0,20,0,0,0,1,0,0,0.84,-0.037,0.83,-0.02%,-1.21,11.95,23,1t start tie,6t --- 2 out a2
5,142,22,Apr 26,PHI,@,STL,"W,2-1",GS-9,W(2-2),5,8,1,1,1,3,9,0,0,3.13,27,114,73,13,19,6,9,4,3,0,82,,,0,0,0,24,0,0,0,1,0,0,1.11,0.521,1.12,0.32%,3.76,35.6,60,1b start tie,9b 1-- 0 out a2
6,143,27,May 1,PHI,,NYM,"L,4-5",GS-7,,4,7,7,4,4,1,6,0,1,3.49,28,97,67,13,13,12,8,6,2,0,52,,,0,0,0,25,2,0,0,1,0,0,0.82,-0.06,0.99,-0.04%,-0.63,14.35,27,1t start tie,7t 3 out tie
7,144,32,May 6,PHI,,MIL,"W,2-0",SHO,W(3-2),4,9,3,0,0,0,8,0,0,2.83,29,118,80,16,15,14,7,3,2,0,89,,,0,0,0,29,1,0,0,0,0,0,1.17,0.624,1.28,0.41%,4.33,43.45,63,1t start tie,9t 3 out a2
8,145,37,May 12,PHI,@,WSN,"W,5-2",GS-6,,5,6,8,2,2,1,7,0,0,2.85,27,98,65,23,5,11,8,5,0,0,54,,,0,0,0,26,1,1,0,0,0,0,1.37,-0.026,1.71,-0.02%,0.82,18.1,33,1b start tie,6b 3 out d1
9,146,42,May 18,PHI,,MIA,"W,8-3",GS-7,,5,7,5,1,0,0,10,0,0,2.52,26,92,68,18,17,8,8,2,1,0,75,,,2,0,0,25,1,0,0,0,1,0,1.12,0.267,1.45,0.21%,2.78,32.75,51,1t start tie,7t 3 out d1
10,147,47,May 23,PHI,,BOS,"W,6-2",GS-8,W(4-2),4,7.1,3,1,1,1,12,1,1,2.38,27,98,73,16,19,5,8,1,2,0,79,,,0,0,0,25,0,0,0,0,0,0,0.59,0.253,0.57,0.15%,3.04,39.5,67,1t start tie,8t --- 1 out a3
11,148,52,May 29,PHI,@,TBR,"L,3-5",GS-7,,5,7,4,3,3,2,14,1,0,2.52,27,101,71,23,17,6,5,2,2,0,69,,,0,0,0,25,0,0,0,0,0,0,0.86,-0.059,0.83,-0.04%,0.19,34.15,54,1b start tie,7b 3 out tie
12,149,56,Jun 4,PHI,,WSN,"L,1-2",GS-8,L(4-3),5,7.1,5,2,2,2,8,1,0,2.51,29,101,68,13,15,11,8,1,3,0,66,,,0,0,0,27,2,0,1,0,0,0,1.03,0.073,1.05,0.05%,1.33,24.3,40,1t start tie,8t 1-- 1 out d1
13,150,61,Jun 10,PHI,,ATL,"W,4-3",GS-8,,5,8,4,0,0,0,12,0,0,2.29,27,105,79,17,19,5,10,4,3,0,86,,,0,0,0,27,0,0,0,0,0,0,1.25,0.541,1.45,0.38%,3.87,39.6,60,1t start tie,8t 3 out tie
14,151,66,Jun 16,PHI,@,LAD,"W,2-0",GS-6,W(5-3),5,6,5,0,0,4,6,0,0,2.15,27,98,64,19,12,9,8,2,5,0,64,,,0,0,0,23,0,0,0,0,0,0,1.48,0.357,1.46,0.21%,2.9,24.1,48,1b start a 1,6b 3 out a2
15,152,70,Jun 22,PHI,,WSN,"L,2-3",GS-3,L(5-4),5,3,6,3,3,1,4,0,1,2.36,17,73,46,15,7,6,5,3,0,0,38,,,1,0,0,15,1,0,0,0,0,0,1.07,-0.187,1.23,-0.13%,-1.56,3.95,12,1t start tie,3t 3 out d2
16,153,75,Jun 27,PHI,@,NYM,"W,4-2",GS-7,W(6-4),4,7,4,0,0,2,8,0,0,2.2,27,103,67,14,14,9,8,5,0,0,75,,,0,0,0,24,1,0,0,0,0,0,0.86,0.272,0.89,0.17%,3.26,32.15,57,1b start tie,7b 3 out a4
17,154,79,Jul 2,PHI,,SDP,"W,4-3",GS-8,,4,7.2,4,0,0,0,9,0,0,2.05,27,114,78,17,7,12,6,4,1,0,80,,,0,0,0,27,1,0,0,0,0,0,0.86,0.385,0.7,0.19%,3.75,32.85,50,1t start tie,8t --- 2 out a3
,,,,,,,7-Oct,,W-L:6-4,4.6,114,82,27,26,25,139,7,4,2.05,444,1707,67%,16%,13%,1.03,,21%,10%,0,66,,---%,3,0,0,411,12,1,1,5,1,0,1.01,3.139,1.07,1.70%,30.06,444.9,753,,
