Split,G,IP,ER,ERA,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st inning,17,17,10,5.29,75,66,10,19,3,0,1,0,0,7,17,2.43,0.288,0.373,0.379,0.752,25,3,2,0,0,0,0,0.375,181,102
2nd inning,17,17,0,0,55,54,0,3,0,0,0,0,0,1,17,17,0.056,0.073,0.056,0.128,3,0,0,0,0,0,0,0.081,-51,-62
3rd inning,17,17,1,0.53,61,57,1,9,3,0,0,1,0,2,26,13,0.158,0.2,0.211,0.411,12,0,1,1,0,0,0,0.29,53,15
4th inning,16,16,1,0.56,61,56,2,11,2,0,0,1,0,3,20,6.67,0.196,0.233,0.232,0.465,13,1,0,1,1,0,0,0.297,74,32
5th inning,16,15.2,6,3.45,68,63,6,18,2,0,3,0,0,4,21,5.25,0.286,0.328,0.46,0.789,29,0,0,1,0,0,0,0.385,192,116
6th inning,15,14.2,5,3.07,58,54,5,11,1,1,2,0,0,4,19,4.75,0.204,0.259,0.37,0.629,20,1,0,0,0,0,0,0.273,133,73
7th inning,12,11.1,1,0.79,44,40,0,6,1,0,0,1,0,3,15,5,0.15,0.227,0.175,0.402,7,0,1,0,0,1,0,0.24,52,18
8th inning,6,4.1,1,2.08,16,16,1,3,0,0,1,0,0,0,4,,0.188,0.188,0.375,0.563,6,0,0,0,0,0,0,0.182,106,55
9th inning,2,1,1,9,6,5,0,2,0,0,0,0,0,1,0,0,0.4,0.5,0.4,0.9,2,0,0,0,0,0,0,0.4,239,174
Innings 1-3,17,51,11,1.94,191,177,11,31,6,0,1,1,0,10,60,6,0.175,0.232,0.226,0.458,40,3,3,1,0,0,0,0.259,71,28
Innings 4-6,16,46.1,12,2.33,187,173,13,40,5,1,5,1,0,11,60,5.45,0.231,0.276,0.358,0.634,62,2,0,2,1,0,0,0.321,135,76
Innings 7-9,12,16.2,3,1.62,66,61,1,11,1,0,1,1,0,4,19,4.75,0.18,0.242,0.246,0.488,15,0,1,0,0,1,0,0.244,82,42
